,question_number,question_text,question_subtext,body_text
14,QUESTION 15,"OF CONSENT, WHICH IS AN ACT OF THE WILL IN REGARD TO THE MEANS",In Four Articles,"We must now consider consent; concerning which there are four points
of inquiry:

(1) Whether consent is an act of the appetitive or of the apprehensive
power?

(2) Whether it is to be found in irrational animals?

(3) Whether it is directed to the end or to the means?

(4) Whether consent to an act belongs to the higher part of the soul
only?
"
15,QUESTION 16,"OF USE, WHICH IS AN ACT OF THE WILL IN REGARD TO THE MEANS",In Four Articles,"We must now consider use; concerning which there are four points of
inquiry:

(1) Whether use is an act of the will?

(2) Whether it is to be found in irrational animals?

(3) Whether it regards the means only, or the end also?

(4) Of the relation of use to choice.
"
16,QUESTION 17,OF THE ACTS COMMANDED BY THE WILL,In Nine Articles,"We must now consider the acts commanded by the will; under which head
there are nine points of inquiry:

(1) Whether command is an act of the will or of the reason?

(2) Whether command belongs to irrational animals?

(3) Of the order between command and use;

(4) Whether command and the commanded act are one act or distinct?

(5) Whether the act of the will is commanded?

(6) Whether the act of the reason is commanded?

(7) Whether the act of the sensitive appetite is commanded?

(8) Whether the act of the vegetal soul is commanded?

(9) Whether the acts of the external members are commanded?
"
17,QUESTION 18,"OF THE GOOD AND EVIL OF HUMAN ACTS, IN GENERAL",In Eleven Articles,"We must now consider the good and evil of human acts. First, how a
human act is good or evil; secondly, what results from the good or
evil of a human act, as merit or demerit, sin and guilt.

Under the first head there will be a threefold consideration: the
first will be of the good and evil of human acts, in general; the
second, of the good and evil of internal acts; the third, of the good
and evil of external acts.

Concerning the first there are eleven points of inquiry:

(1) Whether every human action is good, or are there evil actions?

(2) Whether the good or evil of a human action is derived from its
object?

(3) Whether it is derived from a circumstance?

(4) Whether it is derived from the end?

(5) Whether a human action is good or evil in its species?

(6) Whether an action has the species of good or evil from its end?

(7) Whether the species derived from the end is contained under the
species derived from the object, as under its genus, or conversely?

(8) Whether any action is indifferent in its species?

(9) Whether an individual action can be indifferent?

(10) Whether a circumstance places a moral action in the species of
good or evil?

(11) Whether every circumstance that makes an action better or worse,
places the moral action in the species of good or evil?
"
18,QUESTION 19,OF THE GOODNESS AND MALICE OF THE INTERIOR ACT OF THE WILL,In Ten Articles,"We must now consider the goodness of the interior act of the will;
under which head there are ten points of inquiry:

(1) Whether the goodness of the will depends on the object?

(2) Whether it depends on the object alone?

(3) Whether it depends on reason?

(4) Whether it depends on the eternal law?

(5) Whether erring reason binds?

(6) Whether the will is evil if it follows the erring reason against
the law of God?

(7) Whether the goodness of the will in regard to the means, depends
on the intention of the end?

(8) Whether the degree of goodness or malice in the will depends on
the degree of good or evil in the intention?

(9) Whether the goodness of the will depends on its conformity to the
Divine Will?

(10) Whether it is necessary for the human will, in order to be good,
to be conformed to the Divine Will, as regards the thing willed?
"
19,QUESTION 20,OF GOODNESS AND MALICE IN EXTERNAL HUMAN ACTIONS,In Six Articles,"We must next consider goodness and malice as to external actions:
under which head there are six points of inquiry:

(1) Whether goodness and malice is first in the act of the will, or
in the external action?

(2) Whether the whole goodness or malice of the external action
depends on the goodness of the will?

(3) Whether the goodness and malice of the interior act are the same
as those of the external action?

(4) Whether the external action adds any goodness or malice to that
of the interior act?

(5) Whether the consequences of an external action increase its
goodness or malice?

(6) Whether one and the same external action can be both good and
evil?
"
20,QUESTION 21,OF THE CONSEQUENCES OF HUMAN ACTIONS BY REASON OF THEIR GOODNESS AND MALICE,In Four Articles,"We have now to consider the consequences of human actions by reason
of their goodness and malice: and under this head there are four
points of inquiry:

(1) Whether a human action is right or sinful by reason of its being
good or evil?

(2) Whether it thereby deserves praise or blame?

(3) Whether accordingly, it is meritorious or demeritorious?

(4) Whether it is accordingly meritorious or demeritorious before God?
"
21,QUESTION 22,OF THE SUBJECT OF THE SOUL'S PASSIONS,In Three Articles,"We must now consider the passions of the soul: first, in general;
secondly, in particular. Taking them in general, there are four
things to be considered: (1) Their subject: (2) The difference
between them: (3) Their mutual relationship: (4) Their malice and
goodness.

Under the first head there are three points of inquiry:

(1) Whether there is any passion in the soul?

(2) Whether passion is in the appetitive rather than in the
apprehensive part?

(3) Whether passion is in the sensitive appetite rather than in the
intellectual appetite, which is called the will?
"
22,QUESTION 23,HOW THE PASSIONS DIFFER FROM ONE ANOTHER,In Four Articles,"We must now consider how the passions differ from one another: and
under this head there are four points of inquiry:

(1) Whether the passions of the concupiscible part are different from
those of the irascible part?

(2) Whether the contrariety of passions in the irascible part is
based on the contrariety of good and evil?

(3) Whether there is any passion that has no contrary?

(4) Whether, in the same power, there are any passions, differing in
species, but not contrary to one another?
"
23,QUESTION 24,OF GOOD AND EVIL IN THE PASSIONS OF THE SOUL,In Four Articles,"We must now consider good and evil in the passions of the soul: and
under this head there are four points of inquiry:

(1) Whether moral good and evil can be found in the passions of the
soul?

(2) Whether every passion of the soul is morally evil?

(3) Whether every passion increases or decreases the goodness or
malice of an act?

(4) Whether any passion is good or evil specifically?
"
24,QUESTION 25,OF THE ORDER OF THE PASSIONS TO ONE ANOTHER,In Four Articles,"We must now consider the order of the passions to one another: and
under this head there are four points of inquiry:

(1) The relation of the irascible passions to the concupiscible
passions;

(2) The relation of the concupiscible passions to one another;

(3) The relation of the irascible passions to one another;

(4) The four principal passions.
"
25,QUESTION 26,"OF THE PASSIONS OF THE SOUL IN PARTICULAR: AND FIRST, OF LOVE",In Four Articles,"We have now to consider the soul's passions in particular, and (1)
the passions of the concupiscible faculty; (2) the passions of the
irascible faculty.

The first of these considerations will be threefold: since we shall
consider (1) Love and hatred; (2) Desire and aversion; (3) Pleasure
and sadness.

Concerning love, three points must be considered: (1) Love itself;
(2) The cause of love; (3) The effects of love. Under the first
head there are four points of inquiry:

(1) Whether love is in the concupiscible power?

(2) Whether love is a passion?

(3) Whether love is the same as dilection?

(4) Whether love is properly divided into love of friendship, and
love of concupiscence?
"
26,QUESTION 27,OF THE CAUSE OF LOVE,In Four Articles,"We must now consider the cause of love: and under this head there are
four points of inquiry:

(1) Whether good is the only cause of love?

(2) Whether knowledge is a cause of love?

(3) Whether likeness is a cause of love?

(4) Whether any other passion of the soul is a cause of love?
"
27,QUESTION 28,OF THE EFFECTS OF LOVE,In Six Articles,"We now have to consider the effects of love: under which head there
are six points of inquiry:

(1) Whether union is an effect of love?

(2) Whether mutual indwelling is an effect of love?

(3) Whether ecstasy is an effect of love?

(4) Whether zeal is an effect of love?

(5) Whether love is a passion that is hurtful to the lover?

(6) Whether love is cause of all that the lover does?
"
28,QUESTION 29,OF HATRED,In Six Articles,"We must now consider hatred: concerning which there are six points of
inquiry:

(1) Whether evil is the cause and the object of hatred?

(2) Whether love is the cause of hatred?

(3) Whether hatred is stronger than love?

(4) Whether a man can hate himself?

(5) Whether a man can hate the truth?

(6) Whether a thing can be the object of universal hatred?
"
29,QUESTION 30,OF CONCUPISCENCE,In Four Articles,"We have now to consider concupiscence: under which head there are
four points of inquiry:

(1) Whether concupiscence is in the sensitive appetite only?

(2) Whether concupiscence is a specific passion?

(3) Whether some concupiscences are natural, and some not natural?

(4) Whether concupiscence is infinite?
"
30,QUESTION 31,OF DELIGHT OR PLEASURE CONSIDERED IN ITSELF,In Eight Articles,"We must now consider delight and sadness. Concerning delight four
things must be considered: (1) Delight in itself; (2) The causes of
delight; (3) Its effects; (4) Its goodness and malice.

Under the first head there are eight points of inquiry:

(1) Whether delight is a passion?

(2) Whether delight is subject to time?

(3) Whether it differs from joy?

(4) Whether it is in the intellectual appetite?

(5) Of the delights of the higher appetite compared with the delight
of the lower;

(6) Of sensible delights compared with one another;

(7) Whether any delight is non-natural?

(8) Whether one delight can be contrary to another?
"
31,QUESTION 32,OF THE CAUSE OF PLEASURE,In Eight Articles,"We must now consider the causes of pleasure: and under this head
there are eight points of inquiry:

(1) Whether operation is the proper cause of pleasure?

(2) Whether movement is a cause of pleasure?

(3) Whether hope and memory cause pleasure?

(4) Whether sadness causes pleasure?

(5) Whether the actions of others are a cause of pleasure to us?

(6) Whether doing good to another is a cause of pleasure?

(7) Whether likeness is a cause of pleasure?

(8) Whether wonder is a cause of pleasure?
"
32,QUESTION 33,OF THE EFFECTS OF PLEASURE,In Four Articles,"We must now consider the effects of pleasure; and under this head
there are four points of inquiry:

(1) Whether expansion is an effect of pleasure?

(2) Whether pleasure causes thirst or desire for itself?

(3) Whether pleasure hinders the use of reason?

(4) Whether pleasure perfects operation?
"
33,QUESTION 34,OF THE GOODNESS AND MALICE OF PLEASURES,In Four Articles,"We must now consider the goodness and malice of pleasures: under
which head there are four points of inquiry:

(1) Whether every pleasure is evil?

(2) If not, whether every pleasure is good?

(3) Whether any pleasure is the greatest good?

(4) Whether pleasure is the measure or rule by which to judge of
moral good and evil?
"
34,QUESTION 35,"OF PAIN OR SORROW, IN ITSELF",In Eight Articles,"We have now to consider pain and sorrow: concerning which we must
consider: (1) Sorrow or pain in itself; (2) Its cause; (3) Its
effects; (4) Its remedies; (5) Its goodness or malice.

Under the first head there are eight points of inquiry:

(1) Whether pain is a passion of the soul?

(2) Whether sorrow is the same as pain?

(3) Whether sorrow or pain is contrary [to] pleasure?

(4) Whether all sorrow is contrary to all pleasure?

(5) Whether there is a sorrow contrary to the pleasure of
contemplation?

(6) Whether sorrow is to be shunned more than pleasure is to be
sought?

(7) Whether exterior pain is greater than interior?

(8) Of the species of sorrow.
"
35,QUESTION 36,OF THE CAUSES OF SORROW OR PAIN,In Four Articles,"We must now consider the causes of sorrow: under which head there are
four points of inquiry:

(1) Whether sorrow is caused by the loss of a good or rather by the
presence of an evil?

(2) Whether desire is a cause of sorrow?

(3) Whether the craving for unity is a cause of sorrow?

(4) Whether an irresistible power is a cause of sorrow?
"
36,QUESTION 37,OF THE EFFECTS OF PAIN OR SORROW,In Four Articles,"We must now consider the effects of pain or of sorrow: under which
head there are four points of inquiry:

(1) Whether pain deprives one of the power to learn?

(2) Whether the effect of sorrow or pain is to burden the soul?

(3) Whether sorrow or pain weakens all activity?

(4) Whether sorrow is more harmful to the body than all the other
passions of the soul?
"
37,QUESTION 38,OF THE REMEDIES OF SORROW OR PAIN,In Four Articles,"We must now consider the remedies of pain or sorrow: under which head
there are five points of inquiry:

(1) Whether pain or sorrow is assuaged by every pleasure?

(2) Whether it is assuaged by weeping?

(3) Whether it is assuaged by the sympathy of friends?

(4) Whether it is assuaged by contemplating the truth?

(5) Whether it is assuaged by sleep and baths?
"
38,QUESTION 39,OF THE GOODNESS AND MALICE OF SORROW OR PAIN,In Four Articles,"We must now consider the goodness and malice of pain or sorrow:
under which head there are four points of inquiry:

(1) Whether all sorrow is evil?

(2) Whether sorrow can be a virtuous good?

(3) Whether it can be a useful good?

(4) Whether bodily pain is the greatest evil?
"
39,QUESTION 40,"OF THE IRASCIBLE PASSIONS, AND FIRST, OF HOPE AND DESPAIR",In Eight Articles,"We must now consider the irascible passions: (1) Hope and despair;
(2) Fear and daring; (3) Anger. Under first head there are eight
points of inquiry:

(1) Whether hope is the same as desire or cupidity?

(2) Whether hope is in the apprehensive, or in the appetitive
faculty?

(3) Whether hope is in dumb animals?

(4) Whether despair is contrary to hope?

(5) Whether experience is a cause of hope?

(6) Whether hope abounds in young men and drunkards?

(7) Concerning the order of hope to love;

(8) Whether love conduces to action?
"
40,QUESTION 41,"OF FEAR, IN ITSELF",In Four Articles,"We must now consider, in the first place, fear; and, secondly, daring.
With regard to fear, four things must be considered: (1) Fear, in
itself; (2) Its object; (3) Its cause; (4) Its effect. Under the first
head there are four points of inquiry:

(1) Whether fear is a passion of the soul?

(2) Whether fear is a special passion?

(3) Whether there is a natural fear?

(4) Of the species of fear.
"
41,QUESTION 42,OF THE OBJECT OF FEAR,In Six Articles,"We must now consider the object of fear: under which head there are
six points of inquiry:

(1) Whether good or evil is the object of fear?

(2) Whether evil of nature is the object of fear?

(3) Whether the evil of sin is an object of fear?

(4) Whether fear itself can be feared?

(5) Whether sudden things are especially feared?

(6) Whether those things are more feared against which there is no
remedy?
"
42,QUESTION 43,OF THE CAUSE OF FEAR,In Two Articles,"We must now consider the cause of fear: under which head there are
two points of inquiry:

(1) Whether love is the cause of fear?

(2) Whether defect is the cause of fear?
"
43,QUESTION 44,OF THE EFFECTS OF FEAR,In Four Articles,"We must now consider the effects of fear: under which head there are
four points of inquiry:

(1) Whether fear causes contraction?

(2) Whether it makes men suitable for counsel?

(3) Whether it makes one tremble?

(4) Whether it hinders action?
"
44,QUESTION 45,OF DARING,In Four Articles,"We must now consider daring: under which head there are four points
of inquiry:

(1) Whether daring is contrary to fear?

(2) How is daring related to hope?

(3) Of the cause of daring;

(4) Of its effect.
"
45,QUESTION 46,"OF ANGER, IN ITSELF",In Eight Articles,"We must now consider anger: and (1) anger in itself; (2) the cause of
anger and its remedy; (3) the effect of anger.

Under the first head there are eight points of inquiry:

(1) Whether anger is a special passion?

(2) Whether the object of anger is good or evil?

(3) Whether anger is in the concupiscible faculty?

(4) Whether anger is accompanied by an act of reason?

(5) Whether anger is more natural than desire?

(6) Whether anger is more grievous than hatred?

(7) Whether anger is only towards those with whom we have a relation
of justice?

(8) Of the species of anger.
"
46,QUESTION 47,"OF THE CAUSE THAT PROVOKES ANGER, AND OF THE REMEDIES OF ANGER",In Four Articles,"[*There is no further mention of these remedies in the text, except
in A. 4].

We must now consider the cause that provokes anger, and its remedies.
Under this head there are four points of inquiry:

(1) Whether the motive of anger is always something done against the
one who is angry?

(2) Whether slight or contempt is the sole motive of anger?

(3) Of the cause of anger on the part of the angry person;

(4) Of the cause of anger on the part of the person with whom one is
angry.
"
47,QUESTION 48,OF THE EFFECTS OF ANGER,In Four Articles,"We must now consider the effects of anger: under which head there are
four points of inquiry:

(1) Whether anger causes pleasure?

(2) Whether above all it causes heat in the heart?

(3) Whether above all it hinders the use of reason?

(4) Whether it causes taciturnity?
"
48,QUESTION 49,"OF HABITS IN GENERAL, AS TO THEIR SUBSTANCE",In Four Articles,"After treating of human acts and passions, we now pass on to the
consideration of the principles of human acts, and firstly of
intrinsic principles, secondly of extrinsic principles. The intrinsic
principle is power and habit; but as we have treated of powers in the
First Part (Q. 77, seqq.), it remains for us to consider them in general:
in the second place we shall consider virtues and vices and other like
habits, which are the principles of human acts.

Concerning habits in general there are four points to consider: First,
the substance of habits; second, their subject; third, the cause of
their generation, increase, and corruption; fourth, how they are
distinguished from one another.

Under the first head, there are four points of inquiry:

(1) Whether habit is a quality?

(2) Whether it is a distinct species of quality?

(3) Whether habit implies an order to an act?

(4) Of the necessity of habit.
"
49,QUESTION 50,OF THE SUBJECT OF HABITS,In Six Articles,"We consider next the subject of habits: and under this head there are
six points of inquiry:

(1) Whether there is a habit in the body?

(2) Whether the soul is a subject of habit, in respect of its essence
or in respect of its power?

(3) Whether in the powers of the sensitive part there can be a habit?

(4) Whether there is a habit in the intellect?

(5) Whether there is a habit in the will?

(6) Whether there is a habit in separate substances?
"
50,QUESTION 51,"OF THE CAUSE OF HABITS, AS TO THEIR FORMATION",In Four Articles,"We must next consider the cause of habits: and firstly, as to their
formation; secondly, as to their increase; thirdly, as to their
diminution and corruption. Under the first head there are four points
of inquiry:

(1) Whether any habit is from nature?

(2) Whether any habit is caused by acts?

(3) Whether any habit can be caused by one act?

(4) Whether any habits are infused in man by God?
"
51,QUESTION 52,OF THE INCREASE OF HABITS,In Three Articles,"We have now to consider the increase of habits; under which head
there are three points of inquiry:

(1) Whether habits increase?

(2) Whether they increase by addition?

(3) Whether each act increases the habit?
"
52,QUESTION 53,HOW HABITS ARE CORRUPTED OR DIMINISHED,In Three Articles,"We must now consider how habits are lost or weakened; and under this
head there are three points of inquiry:

(1) Whether a habit can be corrupted?

(2) Whether it can be diminished?

(3) How are habits corrupted or diminished?
"
53,QUESTION 54,OF THE DISTINCTION OF HABITS,In Four Articles,"We have now to consider the distinction of habits; and under this
head there are four points of inquiry:

(1) Whether many habits can be in one power?

(2) Whether habits are distinguished by their objects?

(3) Whether habits are divided into good and bad?

(4) Whether one habit may be made up of many habits?
"
54,QUESTION 55,"OF THE VIRTUES, AS TO THEIR ESSENCE",In Four Articles,"We come now to the consideration of habits specifically. And since
habits, as we have said (Q. 54, A. 3), are divided into good and bad,
we must speak in the first place of good habits, which are virtues,
and of other matters connected with them, namely the Gifts,
Beatitudes and Fruits; in the second place, of bad habits, namely of
vices and sins. Now five things must be considered about virtues:
(1) the essence of virtue; (2) its subject; (3) the division of
virtue; (4) the cause of virtue; (5) certain properties of virtue.

Under the first head, there are four points of inquiry:

(1) Whether human virtue is a habit?

(2) Whether it is an operative habit?

(3) Whether it is a good habit?

(4) Of the definition of virtue.
"
55,QUESTION 56,OF THE SUBJECT OF VIRTUE,In Six Articles,"We now have to consider the subject of virtue, about which there are
six points of inquiry:

(1) Whether the subject of virtue is a power of the soul?

(2) Whether one virtue can be in several powers?

(3) Whether the intellect can be the subject of virtue?

(4) Whether the irascible and concupiscible faculties can be the
subject of virtue?

(5) Whether the sensitive powers of apprehension can be the subject of
virtue?

(6) Whether the will can be the subject of virtue?
"
56,QUESTION 57,OF THE INTELLECTUAL VIRTUES,In Six Articles,"We now have to consider the various kinds of virtue: and (1) the
intellectual virtues; (2) the moral virtues; (3) the theological
virtues. Concerning the first there are six points of inquiry:

(1) Whether habits of the speculative intellect are virtues?

(2) Whether they are three, namely, wisdom, science and understanding?

(3) Whether the intellectual habit, which is art, is a virtue?

(4) Whether prudence is a virtue distinct from art?

(5) Whether prudence is a virtue necessary to man?

(6) Whether ""eubulia,"" ""synesis"" and ""gnome"" are virtues annexed to
prudence?
"
57,QUESTION 58,OF THE DIFFERENCE BETWEEN MORAL AND INTELLECTUAL VIRTUES,In Five Articles,"We must now consider moral virtues. We shall speak (1) of the
difference between them and intellectual virtues; (2) of their
distinction, one from another, in respect of their proper matter;
(3) of the difference between the chief or cardinal virtues and
the others.

Under the first head there are five points of inquiry:

(1) Whether every virtue is a moral virtue?

(2) Whether moral virtue differs from intellectual virtue?

(3) Whether virtue is adequately divided into moral and intellectual
virtue?

(4) Whether there can be moral without intellectual virtue?

(5) Whether, on the other hand, there can be intellectual without
moral virtue?
"
58,QUESTION 59,OF MORAL VIRTUE IN RELATION TO THE PASSIONS,In Five Articles,"We must now consider the difference of one moral virtue from another.
And since those moral virtues which are about the passions, differ
accordingly to the difference of passions, we must consider (1) the
relation of virtue to passion; (2) the different kinds of moral
virtue in relation to the passions. Under the first head there are
five points of inquiry:

(1) Whether moral virtue is a passion?

(2) Whether there can be moral virtue with passion?

(3) Whether sorrow is compatible with moral virtue?

(4) Whether every moral virtue is about a passion?

(5) Whether there can be moral virtue without passion?
"
59,QUESTION 60,HOW THE MORAL VIRTUES DIFFER FROM ONE ANOTHER,In Five Articles,"We must now consider how the moral virtues differ from one another:
under which head there are five points of inquiry:

(1) Whether there is only one moral virtue?

(2) Whether those moral virtues which are about operations, are
distinct from those which are about passions?

(3) Whether there is but one moral virtue about operations?

(4) Whether there are different moral virtues about different
passions?

(5) Whether the moral virtues differ in point of the various objects
of the passions?
"
60,QUESTION 61,OF THE CARDINAL VIRTUES,In Five Articles,"We must now consider the cardinal virtues: under which head there are
five points of inquiry:

(1) Whether the moral virtues should be called cardinal or principal
virtues?

(2) Of their number;

(3) Which are they?

(4) Whether they differ from one another?

(5) Whether they are fittingly divided into social, perfecting,
perfect, and exemplar virtues?
"
61,QUESTION 62,OF THE THEOLOGICAL VIRTUES,In Four Articles,"We must now consider the Theological Virtues: under which head there
are four points of inquiry:

(1) Whether there are any theological virtues?

(2) Whether the theological virtues are distinct from the intellectual
and moral virtues?

(3) How many, and which are they?

(4) Of their order.
"
62,QUESTION 63,OF THE CAUSE OF VIRTUES,In Four Articles,"We must now consider the cause of virtues; and under this head there
are four points of inquiry:

(1) Whether virtue is in us by nature?

(2) Whether any virtue is caused in us by habituation?

(3) Whether any moral virtues are in us by infusion?

(4) Whether virtue acquired by habituation, is of the same species
as infused virtue?
"
