,question_number,question_text,question_subtext,body_text
12,QUESTION 13,THE NAMES OF GOD,In Twelve Articles,"After the consideration of those things which belong to the divine
knowledge, we now proceed to the consideration of the divine names.
For everything is named by us according to our knowledge of it.

Under this head, there are twelve points for inquiry:

(1) Whether God can be named by us?

(2) Whether any names applied to God are predicated of Him
substantially?

(3) Whether any names applied to God are said of Him literally, or
are all to be taken metaphorically?

(4) Whether any names applied to God are synonymous?

(5) Whether some names are applied to God and to creatures univocally
or equivocally?

(6) Whether, supposing they are applied analogically, they are
applied first to God or to creatures?

(7) Whether any names are applicable to God from time?

(8) Whether this name ""God"" is a name of nature, or of the operation?

(9) Whether this name ""God"" is a communicable name?

(10) Whether it is taken univocally or equivocally as signifying God,
by nature, by participation, and by opinion?

(11) Whether this name, ""Who is,"" is the supremely appropriate name
of God?

(12) Whether affirmative propositions can be formed about God?
"
13,QUESTION 14,OF GOD'S KNOWLEDGE,In Sixteen Articles,"Having considered what belongs to the divine substance, we have now
to treat of God's operation. And since one kind of operation is
immanent, and another kind of operation proceeds to the exterior
effect, we treat first of knowledge and of will (for understanding
abides in the intelligent agent, and will is in the one who wills);
and afterwards of the power of God, the principle of the divine
operation as proceeding to the exterior effect. Now because to
understand is a kind of life, after treating of the divine knowledge,
we consider the divine life. And as knowledge concerns truth, we
consider truth and falsehood. Further, as everything known is in the
knower, and the types of things as existing in the knowledge of God
are called ideas, to the consideration of knowledge will be added the
treatment of ideas.

Concerning knowledge, there are sixteen points for inquiry:

(1) Whether there is knowledge in God?

(2) Whether God understands Himself?

(3) Whether He comprehends Himself?

(4) Whether His understanding is His substance?

(5) Whether He understands other things besides Himself?

(6) Whether He has a proper knowledge of them?

(7) Whether the knowledge of God is discursive?

(8) Whether the knowledge of God is the cause of things?

(9) Whether God has knowledge of non-existing things?

(10) Whether He has knowledge of evil?

(11) Whether He has knowledge of individual things?

(12) Whether He knows the infinite?

(13) Whether He knows future contingent things?

(14) Whether He knows enunciable things?

(15) Whether the knowledge of God is variable?

(16) Whether God has speculative or practical knowledge of things?
"
14,QUESTION 15,OF IDEAS,In Three Articles,"After considering the knowledge of God, it remains to consider ideas.
And about this there are three points of inquiry:

(1) Whether there are ideas?

(2) Whether they are many, or one only?

(3) Whether there are ideas of all things known by God?
"
15,QUESTION 16,OF TRUTH,In Eight Articles,"Since knowledge is of things that are true, after the consideration
of the knowledge of God, we must inquire concerning truth. About this
there are eight points of inquiry:

(1) Whether truth resides in the thing, or only in the intellect?

(2) Whether it resides only in the intellect composing and dividing?

(3) On the comparison of the true to being.

(4) On the comparison of the true to the good.

(5) Whether God is truth?

(6) Whether all things are true by one truth, or by many?

(7) On the eternity of truth.

(8) On the unchangeableness of truth.
"
16,QUESTION 17,CONCERNING FALSITY,In Four Articles,"We next consider falsity. About this four points of inquiry arise:

(1) Whether falsity exists in things?

(2) Whether it exists in the sense?

(3) Whether it exists in the intellect?

(4) Concerning the opposition of the true and the false.
"
17,QUESTION 18,THE LIFE OF GOD,In Four Articles,"Since to understand belongs to living beings, after considering the
divine knowledge and intellect, we must consider the divine life.
About this, four points of inquiry arise:

(1) To whom does it belong to live?

(2) What is life?

(3) Whether life is properly attributed to God?

(4) Whether all things in God are life?
"
18,QUESTION 19,THE WILL OF GOD,In Twelve Articles,"After considering the things belonging to the divine knowledge, we
consider what belongs to the divine will. The first consideration is
about the divine will itself; the second about what belongs strictly
to His will; the third about what belongs to the intellect in
relation to His will. About His will itself there are twelve points
of inquiry:

(1) Whether there is will in God?

(2) Whether God wills things apart from Himself?

(3) Whether whatever God wills, He wills necessarily?

(4) Whether the will of God is the cause of things?

(5) Whether any cause can be assigned to the divine will?

(6) Whether the divine will is always fulfilled?

(7) Whether the will of God is mutable?

(8) Whether the will of God imposes necessity on the things willed?

(9) Whether there is in God the will of evil?

(10) Whether God has free will?

(11) Whether the will of expression is distinguished in God?

(12) Whether five expressions of will are rightly assigned to the
divine will?
"
19,QUESTION 20,GOD'S LOVE,In Four Articles,"We next consider those things that pertain absolutely to the will of
God. In the appetitive part of the soul there are found in ourselves
both the passions of the soul, as joy, love, and the like; and the
habits of the moral virtues, as justice, fortitude and the like.
Hence we shall first consider the love of God, and secondly His
justice and mercy. About the first there are four points of inquiry:

(1) Whether love exists in God?

(2) Whether He loves all things?

(3) Whether He loves one thing more than another?

(4) Whether He loves more the better things?
"
20,QUESTION 21,THE JUSTICE AND MERCY OF GOD,In Four Articles,"After considering the divine love, we must treat of God's justice and
mercy. Under this head there are four points of inquiry:

(1) Whether there is justice in God?

(2) Whether His justice can be called truth?

(3) Whether there is mercy in God?

(4) Whether in every work of God there are justice and mercy?
"
21,QUESTION 22,THE PROVIDENCE OF GOD,In Four Articles,"Having considered all that relates to the will absolutely, we must
now proceed to those things which have relation to both the intellect
and the will, namely providence, in respect to all created things;
predestination and reprobation and all that is connected with these
acts in respect especially of man as regards his eternal salvation.
For in the science of morals, after the moral virtues themselves,
comes the consideration of prudence, to which providence would seem
to belong. Concerning God's providence there are four points of
inquiry:

(1) Whether providence is suitably assigned to God?

(2) Whether everything comes under divine providence?

(3) Whether divine providence is immediately concerned with all
things?

(4) Whether divine providence imposes any necessity upon things
foreseen?
"
22,QUESTION 23,OF PREDESTINATION,In Eight Articles,"After consideration of divine providence, we must treat of
predestination and the book of life. Concerning predestination there
are eight points of inquiry:

(1) Whether predestination is suitably attributed to God?

(2) What is predestination, and whether it places anything in the
predestined?

(3) Whether to God belongs the reprobation of some men?

(4) On the comparison of predestination to election; whether, that is
to say, the predestined are chosen?

(5) Whether merits are the cause or reason of predestination, or
reprobation, or election?

(6) of the certainty of predestination; whether the predestined will
infallibly be saved?

(7) Whether the number of the predestined is certain?

(8) Whether predestination can be furthered by the prayers of the
saints?
"
23,QUESTION 24,THE BOOK OF LIFE,In Three Articles,"We now consider the book of life; concerning which there are three
points of inquiry:

(1) What is the book of life?

(2) Of what life is it the book?

(3) Whether anyone can be blotted out of the book of life?
"
24,QUESTION 25,THE POWER OF GOD,In Six Articles,"After considering the divine foreknowledge and will, and other things
pertaining thereto, it remains for us to consider the power of God.
About this are six points of inquiry:

(1) Whether there is power in God?

(2) Whether His power is infinite?

(3) Whether He is almighty?

(4) Whether He could make the past not to have been?

(5) Whether He could do what He does not, or not do what He does?

(6) Whether what He makes He could make better?
"
25,QUESTION 26,OF THE DIVINE BEATITUDE,In Four Articles,"After considering all that pertains to the unity of the divine
essence, we come to treat of the divine beatitude. Concerning this,
there are four points of inquiry:

(1) Whether beatitude belongs to God?

(2) In regard to what is God called blessed; does this regard His act
of intellect?

(3) Whether He is essentially the beatitude of each of the blessed?

(4) Whether all other beatitude is included in the divine beatitude?
"
26,QUESTION 27,THE PROCESSION OF THE DIVINE PERSONS,In Five Articles,"Having considered what belongs to the unity of the divine essence, it
remains to treat of what belongs to the Trinity of the persons in God.
And because the divine Persons are distinguished from each other
according to the relations of origin, the order of the doctrine leads
us to consider firstly, the question of origin or procession;
secondly, the relations of origin; thirdly, the persons.

Concerning procession there are five points of inquiry:

(1) Whether there is procession in God?

(2) Whether any procession in God can be called generation?

(3) Whether there can be any other procession in God besides
generation?

(4) Whether that other procession can be called generation?

(5) Whether there are more than two processions in God?
"
27,QUESTION 28,THE DIVINE RELATIONS,In Four Articles,"The divine relations are next to be considered, in four points of
inquiry:

(1) Whether there are real relations in God?

(2) Whether those relations are the divine essence itself, or are
extrinsic to it?

(3) Whether in God there can be several relations distinct from
each other?

(4) The number of these relations.
"
28,QUESTION 29,THE DIVINE PERSONS,In Four Articles,"Having premised what have appeared necessary notions concerning the
processions and the relations, we must now approach the subject of the
persons.

First, we shall consider the persons absolutely, and then
comparatively as regards each other. We must consider the persons
absolutely first in common; and then singly.

The general consideration of the persons seemingly involves four
points:

(1) The signification of this word ""person"";

(2) the number of the persons;

(3) what is involved in the number of persons, or is opposed thereto;
as diversity, and similitude, and the like; and

(4) what belongs to our knowledge of the persons.

Four subjects of inquiry are comprised in the first point:

(1) The definition of ""person.""

(2) The comparison of person to essence, subsistence, and hypostasis.

(3) Whether the name of person is becoming to God?

(4) What does it signify in Him?
"
29,QUESTION 30,THE PLURALITY OF PERSONS IN GOD,In Four Articles,"We are now led to consider the plurality of the persons: about which
there are four points of inquiry:

(1) Whether there are several persons in God?

(2) How many are they?

(3) What the numeral terms signify in God?

(4) The community of the term ""person.""
"
30,QUESTION 31,OF WHAT BELONGS TO THE UNITY OR PLURALITY IN GOD,In Four Articles,"We now consider what belongs to the unity or plurality in God; which
gives rise to four points of inquiry:

(1) Concerning the word ""Trinity"";

(2) Whether we can say that the Son is other than the Father?

(3) Whether an exclusive term, which seems to exclude otherness, can
be joined to an essential name in God?

(4) Whether it can be joined to a personal term?
"
31,QUESTION 32,THE KNOWLEDGE OF THE DIVINE PERSONS,In Four Articles,"We proceed to inquire concerning the knowledge of the divine persons;
and this involves four points of inquiry:

(1) Whether the divine persons can be known by natural reason?

(2) Whether notions are to be attributed to the divine persons?

(3) The number of the notions?

(4) Whether we may lawfully have various contrary opinions of these
notions?
"
32,QUESTION 33,OF THE PERSON OF THE FATHER,In Four Articles,"We now consider the persons singly; and first, the Person of the
Father, concerning Whom there are four points of inquiry:

(1) Whether the Father is the Principle?

(2) Whether the person of the Father is properly signified by this
name ""Father""?

(3) Whether ""Father"" in God is said personally before it is said
essentially?

(4) Whether it belongs to the Father alone to be unbegotten?
"
33,QUESTION 34,OF THE PERSON OF THE SON,In Three Articles,"We next consider the person of the Son. Three names are attributed to
the Son--namely, ""Son,"" ""Word,"" and ""Image."" The idea of Son is
gathered from the idea of Father. Hence it remains for us to consider
Word and Image.

Concerning Word there are three points of inquiry:

(1) Whether Word is an essential term in God, or a personal term?

(2) Whether it is the proper name of the Son?

(3) Whether in the name of Word is expressed relation to creatures?
"
34,QUESTION 35,OF THE IMAGE,In Two Articles,"We next inquire concerning the image: about which there are two points
of inquiry:

(1) Whether Image in God is said personally?

(2) Whether this name belongs to the Son alone?
"
35,QUESTION 36,OF THE PERSON OF THE HOLY GHOST,In Four Articles,"We proceed to treat of what belongs to the person of the Holy Ghost,
Who is called not only the Holy Ghost, but also the Love and Gift of
God. Concerning the name ""Holy Ghost"" there are four points of
inquiry:

(1) Whether this name, ""Holy Ghost,"" is the proper name of one divine
Person?

(2) Whether that divine person Who is called the Holy Ghost, proceeds
from the Father and the Son?

(3) Whether He proceeds from the Father through the Son?

(4) Whether the Father and the Son are one principle of the Holy
Ghost?
"
36,QUESTION 37,OF THE NAME OF THE HOLY GHOST--LOVE,In Two Articles,"We now inquire concerning the name ""Love,"" on which arise two points
of inquiry:

(1) Whether it is the proper name of the Holy Ghost?

(2) Whether the Father and the Son love each other by the Holy Ghost?
"
37,QUESTION 38,"OF THE NAME OF THE HOLY GHOST, AS GIFT",In Two Articles,"There now follows the consideration of the Gift; concerning which
there are two points of inquiry:

(1) Whether ""Gift"" can be a personal name?

(2) Whether it is the proper name of the Holy Ghost?
"
38,QUESTION 39,OF THE PERSONS IN RELATION TO THE ESSENCE,In Eight Articles,"Those things considered which belong to the divine persons absolutely,
we next treat of what concerns the person in reference to the essence,
to the properties, and to the notional acts; and of the comparison of
these with each other.

As regards the first of these, there are eight points of inquiry:

(1) Whether the essence in God is the same as the person?

(2) Whether we should say that the three persons are of one essence?

(3) Whether essential names should be predicated of the persons in
the plural, or in the singular?

(4) Whether notional adjectives, or verbs, or participles, can be
predicated of the essential names taken in a concrete sense?

(5) Whether the same can be predicated of essential names taken in
the abstract?

(6) Whether the names of the persons can be predicated of concrete
essential names?

(7) Whether essential attributes can be appropriated to the persons?

(8) Which attributes should be appropriated to each person?
"
39,QUESTION 40,OF THE PERSONS AS COMPARED TO THE RELATIONS OR PROPERTIES,In Four Articles,"We now consider the persons in connection with the relations, or
properties; and there are four points of inquiry:

(1) Whether relation is the same as person?

(2) Whether the relations distinguish and constitute the persons?

(3) Whether mental abstraction of the relations from the persons
leaves the hypostases distinct?

(4) Whether the relations, according to our mode of understanding,
presuppose the acts of the persons, or contrariwise?
"
40,QUESTION 41,OF THE PERSONS IN REFERENCE TO THE NOTIONAL ACTS,In Six Articles,"We now consider the persons in reference to the notional acts,
concerning which six points of inquiry arise:

(1) Whether the notional acts are to be attributed to the persons?

(2) Whether these acts are necessary, or voluntary?

(3) Whether as regards these acts, a person proceeds from nothing or
from something?

(4) Whether in God there exists a power as regards the notional acts?

(5) What this power means?

(6) Whether several persons can be the term of one notional act?
"
41,QUESTION 42,OF EQUALITY AND LIKENESS AMONG THE DIVINE PERSONS,In Six Articles,"We now have to consider the persons as compared to one another:
firstly, with regard to equality and likeness; secondly, with regard
to mission. Concerning the first there are six points of inquiry.

(1) Whether there is equality among the divine persons?

(2) Whether the person who proceeds is equal to the one from Whom He
proceeds in eternity?

(3) Whether there is any order among the divine persons?

(4) Whether the divine persons are equal in greatness?

(5) Whether the one divine person is in another?

(6) Whether they are equal in power?
"
42,QUESTION 43,THE MISSION OF THE DIVINE PERSONS,In Eight Articles,"We next consider the mission of the divine persons, concerning which
there are eight points of inquiry:

(1) Whether it is suitable for a divine person to be sent?

(2) Whether mission is eternal, or only temporal?

(3) In what sense a divine person is invisibly sent?

(4) Whether it is fitting that each person be sent?

(5) Whether both the Son and the Holy Ghost are invisibly sent?

(6) To whom the invisible mission is directed?

(7) Of the visible mission.

(8) Whether any person sends Himself visibly or invisibly?
"
43,QUESTION 44,"THE PROCESSION OF CREATURES FROM GOD, AND OF THE FIRST CAUSE OF ALL THINGS",In Four Articles,"After treating of the procession of the divine persons, we must
consider the procession of creatures from God. This consideration
will be threefold:

(1) of the production of creatures;

(2) of the distinction between them;

(3) of their preservation and government.

Concerning the first point there are three things to be considered:

(1) the first cause of beings;

(2) the mode of procession of creatures from the first cause;

(3) the principle of the duration of things.

Under the first head there are four points of inquiry:

(1) Whether God is the efficient cause of all beings?

(2) Whether primary matter is created by God, or is an independent
coordinate principle with Him?

(3) Whether God is the exemplar cause of beings or whether there
are other exemplar causes?

(4) Whether He is the final cause of things?
"
44,QUESTION 45,THE MODE OF EMANATION OF THINGS FROM THE FIRST PRINCIPLE,In Eight Articles,"The next question concerns the mode of the emanation of things from
the First Principle, and this is called creation, and includes eight
points of inquiry:

(1) What is creation?

(2) Whether God can create anything?

(3) Whether creation is anything in the very nature of things?

(4) To what things it belongs to be created?

(5) Whether it belongs to God alone to create?

(6) Whether creation is common to the whole Trinity, or proper to any
one Person?

(7) Whether any trace of the Trinity is to be found in created things?

(8) Whether the work of creation is mingled with the works of nature
and of the will?
"
45,QUESTION 46,OF THE BEGINNING OF THE DURATION OF CREATURES,In Three Articles,"Next must be considered the beginning of the duration of creatures,
about which there are three points for treatment:

(1) Whether creatures always existed?

(2) Whether that they began to exist is an article of Faith?

(3) How God is said to have created heaven and earth in the
beginning?
"
46,QUESTION 47,OF THE DISTINCTION OF THINGS IN GENERAL,In Three Articles,"After considering the production of creatures, we come to the
consideration of the distinction of things. This consideration will be
threefold--first, of the distinction of things in general; secondly,
of the distinction of good and evil; thirdly, of the distinction of
the spiritual and corporeal creature.

Under the first head, there are three points of inquiry:

(1) The multitude or distinction of things.

(2) Their inequality.

(3) The unity of the world.
"
47,QUESTION 48,THE DISTINCTION OF THINGS IN PARTICULAR,In Six Articles,"We must now consider the distinction of things in particular; and
firstly the distinction of good and evil; and then the distinction of
the spiritual and corporeal creatures.

Concerning the first, we inquire into evil and its cause.

Concerning evil, six points are to be considered:

(1) Whether evil is a nature?

(2) Whether evil is found in things?

(3) Whether good is the subject of evil?

(4) Whether evil totally corrupts good?

(5) The division of evil into pain and fault.

(6) Whether pain, or fault, has more the nature of evil?
"
48,QUESTION 49,THE CAUSE OF EVIL,In Three Articles,"We next inquire into the cause of evil. Concerning this there are
three points of inquiry:

(1) Whether good can be the cause of evil?

(2) Whether the supreme good, God, is the cause of evil?

(3) Whether there be any supreme evil, which is the first cause of
all evils?
"
49,QUESTION 50,OF THE SUBSTANCE OF THE ANGELS ABSOLUTELY CONSIDERED,In Five Articles,"Now we consider the distinction of corporeal and spiritual creatures:
firstly, the purely spiritual creature which in Holy Scripture is
called angel; secondly, the creature wholly corporeal; thirdly, the
composite creature, corporeal and spiritual, which is man.

Concerning the angels, we consider first what belongs to their
substance; secondly, what belongs to their intellect; thirdly, what
belongs to their will; fourthly, what belongs to their creation.

Their substance we consider absolutely and in relation to corporeal
things.

Concerning their substance absolutely considered, there are five
points of inquiry:

(1) Whether there is any entirely spiritual creature, altogether
incorporeal?

(2) Supposing that an angel is such, we ask whether it is composed
of matter and form?

(3) We ask concerning their number.

(4) Of their difference from each other.

(5) Of their immortality or incorruptibility.
"
50,QUESTION 51,OF THE ANGELS IN COMPARISON WITH BODIES,In Three Articles,"We next inquire about the angels in comparison with corporeal things;
and in the first place about their comparison with bodies; secondly,
of the angels in comparison with corporeal places; and, thirdly, of
their comparison with local movement.

Under the first heading there are three points of inquiry:

(1) Whether angels have bodies naturally united to them?

(2) Whether they assume bodies?

(3) Whether they exercise functions of life in the bodies assumed?
"
51,QUESTION 52,OF THE ANGELS IN RELATION TO PLACE,In Three Articles,"We now inquire into the place of the angels. Touching this there are
three subjects of inquiry:

(1) Is the angel in a place?

(2) Can he be in several places at once?

(3) Can several angels be in the same place?
"
52,QUESTION 53,OF THE LOCAL MOVEMENT OF THE ANGELS,In Three Articles,"We must next consider the local movement of the angels; under which
heading there are three points of inquiry:

(1) Whether an angel can be moved locally.

(2) Whether in passing from place to place he passes through
intervening space?

(3) Whether the angel's movement is in time or instantaneous?
"
53,QUESTION 54,OF THE KNOWLEDGE OF THE ANGELS,In Five Articles,"After considering what belongs to the angel's substance, we now
proceed to his knowledge. This investigation will be fourfold. In
the first place inquiry must be made into his power of knowledge:
secondly, into his medium of knowledge: thirdly, into the objects
known: and fourthly, into the manner whereby he knows them.

Under the first heading there are five points of inquiry:

(1) Is the angel's understanding his substance?

(2) Is his being his understanding?

(3) Is his substance his power of intelligence?

(4) Is there in the angels an active and a passive intellect?

(5) Is there in them any other power of knowledge besides the
intellect?
"
54,QUESTION 55,OF THE MEDIUM OF THE ANGELIC KNOWLEDGE,In Three Articles,"Next in order, the question arises as to the medium of the angelic
knowledge. Under this heading there are three points of inquiry:

(1) Do the angels know everything by their substance, or by some
species?

(2) If by species, is it by connatural species, or is it by such as
they have derived from things?

(3) Do the higher angels know by more universal species than the
lower angels?
"
55,QUESTION 56,OF THE ANGEL'S KNOWLEDGE OF IMMATERIAL THINGS,In Three Articles,"We now inquire into the knowledge of the angels with regard to the
objects known by them. We shall treat of their knowledge, first, of
immaterial things, secondly of things material. Under the first
heading there are three points of inquiry:

(1) Does an angel know himself?

(2) Does one angel know another?

(3) Does the angel know God by his own natural principles?
"
56,QUESTION 57,OF THE ANGEL'S KNOWLEDGE OF MATERIAL THINGS,In Five Articles,"We next investigate the material objects which are known by the
angels. Under this heading there are five points of inquiry:

(1) Whether the angels know the natures of material things?

(2) Whether they know single things?

(3) Whether they know the future?

(4) Whether they know secret thoughts?

(5) Whether they know all mysteries of grace?
"
57,QUESTION 58,OF THE MODE OF ANGELIC KNOWLEDGE,In Seven Articles,"After the foregoing we have now to treat of the mode of the angelic
knowledge, concerning which there are seven points of inquiry:

(1) Whether the angel's intellect be sometimes in potentiality, and
sometimes in act?

(2) Whether the angel can understand many things at the same time?

(3) Whether the angel's knowledge is discursive?

(4) Whether he understands by composing and dividing?

(5) Whether there can be error in the angel's intellect?

(6) Whether his knowledge can be styled as morning and evening?

(7) Whether the morning and evening knowledge are the same, or do
they differ?
"
58,QUESTION 59,THE WILL OF THE ANGELS,FOUR ARTICLES,"In the next place we must treat of things concerning the will of
the angels. In the first place we shall treat of the will itself;
secondly, of its movement, which is love. Under the first heading
there are four points of inquiry:

(1) Whether there is will in the angels?

(2) Whether the will of the angel is his nature, or his intellect?

(3) Is there free-will in the angels?

(4) Is there an irascible and a concupiscible appetite in them?
"
59,QUESTION 60,OF THE LOVE OR DILECTION OF THE ANGELS,In Five Articles,"The next subject for our consideration is that act of the will which
is love or dilection; because every act of the appetitive faculty
comes of love.

Under this heading there are five points of inquiry:

(1) Whether there is natural love in the angels?

(2) Whether there is in them love of choice?

(3) Whether the angel loves himself with natural love or with love
of choice?

(4) Whether one angel loves another with natural love as he loves
himself?

(5) Whether the angel loves God more than self with natural love?
"
60,QUESTION 61,OF THE PRODUCTION OF THE ANGELS IN THE ORDER OF NATURAL BEING,In Four Articles,"After dealing with the nature of the angels, their knowledge and will,
it now remains for us to treat of their creation, or, speaking in a
general way, of their origin. Such consideration is threefold. In the
first place we must see how they were brought into natural existence;
secondly, how they were made perfect in grace or glory; and thirdly,
how some of them became wicked.

Under the first heading there are four points of inquiry:

(1) Whether the angel has a cause of his existence?

(2) Whether he has existed from eternity?

(3) Whether he was created before corporeal creatures?

(4) Whether the angels were created in the empyrean heaven?
"
61,QUESTION 62,OF THE PERFECTION OF THE ANGELS IN THE ORDER OF GRACE AND OF GLORY,In Nine Articles,"In due sequence we have to inquire how the angels were made in the
order of grace and of glory; under which heading there are nine
points of inquiry:

(1) Were the angels created in beatitude?

(2) Did they need grace in order to turn to God?

(3) Were they created in grace?

(4) Did they merit their beatitude?

(5) Did they at once enter into beatitude after merit?

(6) Did they receive grace and glory according to their natural
capacities?

(7) After entering glory, did their natural love and knowledge
remain?

(8) Could they have sinned afterwards?

(9) After entering into glory, could they advance farther?
"
