,question_number,question_text,question_subtext,body_text
33,QUESTION 34,OF HATRED,In Six Articles,"We must now consider the vices opposed to charity: (1) hatred, which
is opposed to love; (2) sloth and envy, which are opposed to the joy
of charity; (3) discord and schism, which are contrary to peace; (4)
offense and scandal, which are contrary to beneficence and fraternal
correction.

Under the first head there are six points of inquiry:

(1) Whether it is possible to hate God?

(2) Whether hatred of God is the greatest of sins?

(3) Whether hatred of one's neighbor is always a sin?

(4) Whether it is the greatest of all sins against our neighbor?

(5) Whether it is a capital sin?

(6) From what capital sin does it arise?
"
34,QUESTION 35,OF SLOTH,In Four Articles,"We must now consider the vices opposed to the joy of charity. This joy
is either about the Divine good, and then its contrary is sloth, or
about our neighbor's good, and then its contrary is envy. Wherefore we
must consider (1) Sloth and (2) Envy.

Under the first head there are four points of inquiry:

(1) Whether sloth is a sin?

(2) Whether it is a special vice?

(3) Whether it is a mortal sin?

(4) Whether it is a capital sin?
"
35,QUESTION 36,OF ENVY,In Four Articles,"We must now consider envy, and under this head there are four points
of inquiry:

(1) What is envy?

(2) Whether it is a sin?

(3) Whether it is a mortal sin?

(4) Whether it is a capital sin, and which are its daughters?
"
36,QUESTION 37,"OF DISCORD, WHICH IS CONTRARY TO PEACE",In Two Articles,"We must now consider the sins contrary to peace, and first we shall
consider discord which is in the heart, secondly contention, which is
on the lips, thirdly, those things which consist in deeds, viz.
schism, quarrelling, war, and sedition. Under the first head there
are two points of inquiry:

(1) Whether discord is a sin?

(2) Whether it is a daughter of vainglory?
"
37,QUESTION 38,OF CONTENTION,In Two Articles,"We must now consider contention, in respect of which there are two
points of inquiry:

(1) Whether contention is a mortal sin?

(2) Whether it is a daughter of vainglory?
"
38,QUESTION 39,OF SCHISM,In Four Articles,"We must now consider the vices contrary to peace, which belong to
deeds: such are schism, strife, sedition, and war. In the first
place, then, about schism, there are four points of inquiry:

(1) Whether schism is a special sin?

(2) Whether it is graver than unbelief?

(3) Of the power exercised by schismatics;

(4) Of the punishment inflicted on them.
"
39,QUESTION 40,OF WAR,In Four Articles,"We must now consider war, under which head there are four points of
inquiry:

(1) Whether some kind of war is lawful?

(2) Whether it is lawful for clerics to fight?

(3) Whether it is lawful for belligerents to lay ambushes?

(4) Whether it is lawful to fight on holy days?
"
40,QUESTION 41,OF STRIFE,In Two Articles,"[*Strife here denotes fighting between individuals]

We must now consider strife, under which head there are two points of
inquiry:

(1) Whether strife is a sin?

(2) Whether it is a daughter of anger?
"
41,QUESTION 42,OF SEDITION,In Two Articles,"We must now consider sedition, under which head there are two points
of inquiry:

(1) Whether it is a special sin?

(2) Whether it is a mortal sin?
"
42,QUESTION 43,OF SCANDAL,In Eight Articles,"It remains for us to consider the vices which are opposed to
beneficence, among which some come under the head of injustice,
those, to wit, whereby one harms one's neighbor unjustly. But scandal
seems to be specially opposed to charity. Accordingly we must here
consider scandal, under which head there are eight points of inquiry:

(1) What is scandal?

(2) Whether scandal is a sin?

(3) Whether it is a special sin?

(4) Whether it is a mortal sin?

(5) Whether the perfect can be scandalized?

(6) Whether they can give scandal?

(7) Whether spiritual goods are to be foregone on account of scandal?

(8) Whether temporal things are to be foregone on account of scandal?
"
43,QUESTION 44,OF THE PRECEPTS OF CHARITY,In Eight Articles,"We must now consider the Precepts of Charity, under which there are
eight points of inquiry:

(1) Whether precepts should be given about charity?

(2) Whether there should be one or two?

(3) Whether two suffice?

(4) Whether it is fittingly prescribed that we should love God, ""with
thy whole heart""?

(5) Whether it is fittingly added: ""With thy whole mind,"" etc.?

(6) Whether it is possible to fulfil this precept in this life?

(7) Of the precept: ""Thou shalt love thy neighbor as thyself"";

(8) Whether the order of charity is included in the precept?
"
44,QUESTION 45,OF THE GIFT OF WISDOM,In Six Articles,"We must now consider the gift of wisdom which corresponds to charity;
and firstly, wisdom itself, secondly, the opposite vice. Under the
first head there are six points of inquiry:

(1) Whether wisdom should be reckoned among the gifts of the Holy
Ghost?

(2) What is its subject?

(3) Whether wisdom is only speculative or also practical?

(4) Whether the wisdom that is a gift is compatible with mortal sin?

(5) Whether it is in all those who have sanctifying grace?

(6) Which beatitude corresponds to it?
"
45,QUESTION 46,OF FOLLY WHICH IS OPPOSED TO WISDOM,In Three Articles,"We must now consider folly which is opposed to wisdom; and under this
head there are three points of inquiry:

(1) Whether folly is contrary to wisdom?

(2) Whether folly is a sin?

(3) To which capital sin is it reducible?
"
46,QUESTION 47,"OF PRUDENCE, CONSIDERED IN ITSELF",In Sixteen Articles,"After treating of the theological virtues, we must in due sequence
consider the cardinal virtues. In the first place we shall consider
prudence in itself; secondly, its parts; thirdly, the corresponding
gift; fourthly, the contrary vices; fifthly, the precepts concerning
prudence.

Under the first head there are sixteen points of inquiry:

(1) Whether prudence is in the will or in the reason?

(2) If in the reason, whether it is only in the practical, or also
in the speculative reason?

(3) Whether it takes cognizance of singulars?

(4) Whether it is virtue?

(5) Whether it is a special virtue?

(6) Whether it appoints the end to the moral virtues?

(7) Whether it fixes the mean in the moral virtues?

(8) Whether its proper act is command?

(9) Whether solicitude or watchfulness belongs to prudence?

(10) Whether prudence extends to the governing of many?

(11) Whether the prudence which regards private good is the same
in species as that which regards the common good?

(12) Whether prudence is in subjects, or only in their rulers?

(13) Whether prudence is in the wicked?

(14) Whether prudence is in all good men?

(15) Whether prudence is in us naturally?

(16) Whether prudence is lost by forgetfulness?
"
47,QUESTION 48,OF THE PARTS OF PRUDENCE,In One Article,"We must now consider the parts of prudence, under which head there are
four points of inquiry:

(1) Which are the parts of prudence?

(2) Of its integral parts;

(3) Of its subjective parts;

(4) Of its potential parts.
"
48,QUESTION 49,OF EACH QUASI-INTEGRAL PART OF PRUDENCE,In Eight Articles,"We must now consider each quasi-integral part of prudence, and under
this head there are eight points of inquiry:

(1) Memory;

(2) Understanding or Intelligence;

(3) Docility;

(4) Shrewdness;

(5) Reason;

(6) Foresight;

(7) Circumspection;

(8) Caution.
"
49,QUESTION 50,OF THE SUBJECTIVE PARTS OF PRUDENCE,In Four Articles,"We must, in due sequence, consider the subjective parts of prudence.
And since we have already spoken of the prudence with which a man
rules himself (Q. 47, seqq.), it remains for us to discuss the species
of prudence whereby a multitude is governed. Under this head there are
four points of inquiry:

(1) Whether a species of prudence is regnative?

(2) Whether political and (3) domestic economy are species of
prudence?

(4) Whether military prudence is?
"
50,QUESTION 51,OF THE VIRTUES WHICH ARE CONNECTED WITH PRUDENCE,In Four Articles,"In due sequence, we must consider the virtues that are connected with
prudence, and which are its quasi-potential parts. Under this head
there are four points of inquiry:

(1) Whether _euboulia_ is a virtue?

(2) Whether it is a special virtue, distinct from prudence?

(3) Whether _synesis_ is a special virtue?

(4) Whether _gnome_ is a special virtue?

[*These three Greek words may be rendered as the faculties of
deliberating well (_euboulia_), of judging well according to common
law (_synesis_), and of judging well according to general law
(_gnome_), respectively.]
"
51,QUESTION 52,OF THE GIFT OF COUNSEL,In Four Articles,"We must now consider the gift of counsel which corresponds to
prudence. Under this head there are four points of inquiry:

(1) Whether counsel should be reckoned among the seven gifts of the
Holy Ghost?

(2) Whether the gift of counsel corresponds to prudence?

(3) Whether the gift of counsel remains in heaven?

(4) Whether the fifth beatitude, ""Blessed are the merciful,"" etc.
corresponds to the gift of counsel?
"
52,QUESTION 53,OF IMPRUDENCE,In Six Articles,"We must now consider the vices opposed to prudence. For Augustine
says (Contra Julian. iv, 3): ""There are vices opposed to every
virtue, not only vices that are in manifest opposition to virtue, as
temerity is opposed to prudence, but also vices which have a kind of
kinship and not a true but a spurious likeness to virtue; thus in
opposition to prudence we have craftiness.""

Accordingly we must consider first of all those vices which are in
evident opposition to prudence, those namely which are due to a
defect either of prudence or of those things which are requisite for
prudence, and secondly those vices which have a false resemblance to
prudence, those namely which are due to abuse of the things required
for prudence. And since solicitude pertains to prudence, the first of
these considerations will be twofold: (1) Of imprudence; (2) Of
negligence which is opposed to solicitude.

Under the first head there are six points of inquiry:

(1) Concerning imprudence, whether it is a sin?

(2) Whether it is a special sin?

(3) Of precipitation or temerity;

(4) Of thoughtlessness;

(5) Of inconstancy;

(6) Concerning the origin of these vices.
"
53,QUESTION 54,OF NEGLIGENCE,In Three Articles,"We must now consider negligence, under which head there are three
points of inquiry:

(1) Whether negligence is a special sin?

(2) To which virtue is it opposed?

(3) Whether negligence is a mortal sin?
"
54,QUESTION 55,OF VICES OPPOSED TO PRUDENCE BY WAY OF RESEMBLANCE,In Eight Articles,"We must now consider those vices opposed to prudence, which have a
resemblance thereto. Under this head there are eight points of
inquiry:

(1) Whether prudence of the flesh is a sin?

(2) Whether it is a mortal sin?

(3) Whether craftiness is a special sin?

(4) Of guile;

(5) Of fraud;

(6) Of solicitude about temporal things;

(7) Of solicitude about the future;

(8) Of the origin of these vices.
"
55,QUESTION 56,OF THE PRECEPTS RELATING TO PRUDENCE,In Two Articles,"We must now consider the precepts relating to prudence, under which
head there are two points of inquiry:

(1) The precepts of prudence;

(2) The precepts relating to the opposite vices.
"
56,QUESTION 57,OF RIGHT,In Four Articles,"After considering prudence we must in due sequence consider justice,
the consideration of which will be fourfold:

(1) Of justice;

(2) Of its parts;

(3) Of the corresponding gift;

(4) Of the precepts relating to justice.

Four points will have to be considered about justice: (1) Right; (2)
Justice itself; (3) Injustice; (4) Judgment.

Under the first head there are four points of inquiry:

(1) Whether right is the object of justice?

(2) Whether right is fittingly divided into natural and positive
right?

(3) Whether the right of nations is the same as natural right?

(4) Whether right of dominion and paternal right are distinct species?
"
57,QUESTION 58,OF JUSTICE,In Twelve Articles,"We must now consider justice. Under this head there are twelve points
of inquiry:

(1) What is justice?

(2) Whether justice is always towards another?

(3) Whether it is a virtue?

(4) Whether it is in the will as its subject?

(5) Whether it is a general virtue?

(6) Whether, as a general virtue, it is essentially the same as every
virtue?

(7) Whether there is a particular justice?

(8) Whether particular justice has a matter of its own?

(9) Whether it is about passions, or about operations only?

(10) Whether the mean of justice is the real mean?

(11) Whether the act of justice is to render to everyone his own?

(12) Whether justice is the chief of the moral virtues?
"
58,QUESTION 59,OF INJUSTICE,In Four Articles,"We must now consider injustice, under which head there are four points
of inquiry:

(1) Whether injustice is a special vice?

(2) Whether it is proper to the unjust man to do unjust deeds?

(3) Whether one can suffer injustice willingly?

(4) Whether injustice is a mortal sin according to its genus?
"
59,QUESTION 60,OF JUDGMENT,In Six Articles,"In due sequence we must consider judgment, under which head there are
six points of inquiry:

(1) Whether judgment is an act of justice?

(2) Whether it is lawful to judge?

(3) Whether judgment should be based on suspicions?

(4) Whether doubts should be interpreted favorably?

(5) Whether judgment should always be given according to the written
law?

(6) Whether judgment is perverted by being usurped?
"
60,QUESTION 61,OF THE PARTS OF JUSTICE,In Four Articles,"We must now consider the parts of justice; (1) the subjective parts,
which are the species of justice, i.e. distributive and commutative
justice; (2) the quasi-integral parts; (3) the quasi-potential parts,
i.e. the virtues connected with justice. The first consideration will
be twofold: (1) The parts of justice; (2) their opposite vices. And
since restitution would seem to be an act of commutative justice, we
must consider (1) the distinction between commutative and
distributive justice; (2) restitution.

Under the first head there are four points of inquiry:

(1) Whether there are two species of justice, viz. distributive and
commutative?

(2) Whether in either case the mean is take in the same way?

(3) Whether their matter is uniform or manifold?

(4) Whether in any of these species the just is the same as
counter-passion?
"
61,QUESTION 62,OF RESTITUTION,In Eight Articles,"We must now consider restitution, under which head there are eight
points of inquiry:

(1) Of what is it an act?

(2) Whether it is always of necessity for salvation to restore what
one has taken away?

(3) Whether it is necessary to restore more than has been taken away?

(4) Whether it is necessary to restore what one has not taken away?

(5) Whether it is necessary to make restitution to the person from
whom something has been taken?

(6) Whether the person who has taken something away is bound to
restore it?

(7) Whether any other person is bound to restitution?

(8) Whether one is bound to restore at once?
"
62,QUESTION 63,OF RESPECT OF PERSONS,In Four Articles,"We must now consider the vices opposed to the aforesaid parts of
justice. First we shall consider respect of persons which is opposed
to distributive justice; secondly we shall consider the vices opposed
to commutative justice.

Under the first head there are four points of inquiry:

(1) Whether respect of persons is a sin?

(2) Whether it takes place in the dispensation of spiritualities?

(3) Whether it takes place in showing honor?

(4) Whether it takes place in judicial sentences?
"
63,QUESTION 64,OF MURDER,In Eight Articles,"In due sequence we must consider the vices opposed to commutative
justice. We must consider (1) those sins that are committed in
relation to involuntary commutations; (2) those that are committed
with regard to voluntary commutations. Sins are committed in relation
to involuntary commutations by doing an injury to one's neighbor
against his will: and this can be done in two ways, namely by deed or
by word. By deed when one's neighbor is injured either in his own
person, or in a person connected with him, or in his possessions.

We must therefore consider these points in due order, and in the
first place we shall consider murder whereby a man inflicts the
greatest injury on his neighbor. Under this head there are eight
points of inquiry:

(1) Whether it is a sin to kill dumb animals or even plants?

(2) Whether it is lawful to kill a sinner?

(3) Whether this is lawful to a private individual, or to a public
person only?

(4) Whether this is lawful to a cleric?

(5) Whether it is lawful to kill oneself?

(6) Whether it is lawful to kill a just man?

(7) Whether it is lawful to kill a man in self-defense?

(8) Whether accidental homicide is a mortal sin?
"
64,QUESTION 65,OF OTHER INJURIES COMMITTED ON THE PERSON,In Four Articles,"We must now consider other sinful injuries committed on the person.
Under this head there are four points of inquiry:

(1) The mutilation of members;

(2) Blows;

(3) Imprisonment;

(4) Whether the sins that consist in inflicting such like injuries
are aggravated through being perpetrated on persons connected with
others?
"
